filename, knife, pistol
armas--870-_jpg.rf.22254f469b33b0c7b38a397b57058875.jpg, 0, 1
KravMagaKnifeDefenseTechniques713_jpg.rf.22452d42eadae2a4be06104d7665d383.jpg, 1, 0
knife_1095_jpg.rf.21f677a032a653e51ae788c544a787ed.jpg, 1, 0
armas--173-_jpg.rf.223932aea48e23750f528905a25cc0dc.jpg, 0, 1
armas--419-_jpg.rf.220b52c772ad99114ecb1c6a5442d2a0.jpg, 0, 1
armas--726-_jpg.rf.22614d70e767ecc20b3c33b698007ae8.jpg, 0, 1
knife_337_jpg.rf.228eeda19202f80f0b5af673421a6bb2.jpg, 1, 0
armas--2633-_jpg.rf.22938554a6bda2bb6a0e5e0219c833b6.jpg, 0, 1
DefenseKnifeAttack0300_jpg.rf.21f62dc5bfbf6cde33c5e4f17080c2cc.jpg, 1, 0
armas--1443-_jpg.rf.2230ad3b2f522dc9bddaa2e901020f67.jpg, 0, 1
knife_882_jpg.rf.2222b1c416f110bd9eab1e80a957bbad.jpg, 1, 0
knife_228_jpg.rf.223bc81f2c0f88701e7b6bbda798909f.jpg, 1, 0
knife_1159_jpg.rf.22c0f3d863fafa2fa2a6a2ffe49b3107.jpg, 1, 0
DSC_0020_JPG.rf.2252c13d841488f958c5b31f74c42002.jpg, 1, 0
knife_376_jpg.rf.227a90932b38219fc55fb3db4a91ca26.jpg, 1, 0
armas--35-_jpg.rf.2293e882eb5b85eeede35d39835aff36.jpg, 0, 1
armas--1574-_jpg.rf.229befe141b91a6fc0c3a2636b1ad7ec.jpg, 0, 1
knife_43_jpg.rf.22da17257b8c99cfb62946da7900d051.jpg, 1, 0
knife_186_jpg.rf.22b9c5c79c51f1a2b1cfa8970e400d40.jpg, 1, 0
armas--514-_jpg.rf.22ce0a94ccf354111bd461e78037d5ec.jpg, 0, 1
armas--2861-_jpg.rf.2251eab99c82049b409788c8086720b1.jpg, 0, 1
armas--906-_jpg.rf.22590f8af7aecaedec48fe12d9136cb1.jpg, 0, 1
armas--1572-_jpg.rf.225fbdf64f1b1c0063c914da11eb4338.jpg, 0, 1
knife_509_jpg.rf.22cb9e66b8d6eebae1490d8343548bc0.jpg, 1, 0
armas--122-_jpg.rf.22eedc4b98dd55304af19981555dd206.jpg, 0, 1
knife_287_jpg.rf.22ef3993df1a50732ada7e2c3b6ffa57.jpg, 1, 0
knife_356_jpg.rf.230c1c614f8c0aa7819cc86c4675448c.jpg, 1, 0
armas--198-_jpg.rf.230bbf63d93f061bf2414fb952bbf4d1.jpg, 0, 1
armas--2292-_jpg.rf.235f7343d9911b82d5e4d84929235efd.jpg, 0, 1
armas--2424-_jpg.rf.2322affcadb1617dea0549dceac7c5fd.jpg, 0, 1
armas--1587-_jpg.rf.235a765f990514f06f7672899c0c9320.jpg, 0, 1
armas--77-_jpg.rf.22f8b015392ddc9f352cff5431402b0a.jpg, 0, 1
knife_1331_jpg.rf.235e44e6328fef69094a137ebdbdf158.jpg, 1, 0
KravMagaTraining244_jpg.rf.232f9c24b891757b5dc0af6d3941ee5e.jpg, 1, 0
knife_19_jpg.rf.231c69cd852d89e4ca3204940a940c99.jpg, 1, 0
armas--2570-_jpg.rf.237add55a9406433d6f56cc485f120ad.jpg, 0, 1
knife_40_jpg.rf.23bf848dac4b014073714a5277dc74d5.jpg, 1, 0
armas--2248-_jpg.rf.2331ba1f1ad61b7af979382fbad1b057.jpg, 0, 1
knife_192_jpg.rf.2334a43622e7c5a0e3bb2d3bcb50edf1.jpg, 1, 0
armas--1249-_jpg.rf.240a77714ac556d2e0b6aac887a30e7f.jpg, 0, 1
armas--930-_jpg.rf.2477cad8677c2f90d77112a3c2443d8c.jpg, 0, 1
armas--2889-_jpg.rf.2439e6f198ac3fad63ab37adec7afac1.jpg, 0, 1
armas--2476-_jpg.rf.2462e0d173d36a628a87e73cfb2a7787.jpg, 0, 1
armas--1825-_jpg.rf.23ef9f34d3c3854074799f972a077840.jpg, 0, 1
armas--1896-_jpg.rf.24684e969f1ab2aa83c4e6d4a5fc03e3.jpg, 0, 1
armas--1006-_jpg.rf.23749778f87f1d9ed77d9f8e0afeb222.jpg, 0, 1
armas--1562-_jpg.rf.243db32fdcc7b93dc7c0992bacccc1ac.jpg, 0, 1
armas--762-_jpg.rf.2438b60397b7dd3c0c9dc02dfce9ca8a.jpg, 0, 1
KravMagaTraining4118_jpg.rf.2459086c6d5091423d526ef0fdce7182.jpg, 1, 0
knife_952_jpg.rf.23ffba8898e95da36a3cf3b4f6af2f7c.jpg, 1, 0
armas--786-_jpg.rf.248f08da557e592c6132cbc2e994af9f.jpg, 0, 1
armas--2712-_jpg.rf.2425621959b574878257d93c2bc02f53.jpg, 0, 1
knife_209_jpg.rf.23f658f77aac8a52ccfcca7d10637229.jpg, 1, 0
armas--2720-_jpg.rf.24f0c5b0836a4ca0c5bcb2179ebbe612.jpg, 0, 1
armas--162-_jpg.rf.249d830a081e9557f51e1c36760dc227.jpg, 0, 1
KravMagaTraining20803_jpg.rf.2505be3864c7f1b4b3968c4ef1fad6c0.jpg, 1, 0
